t,signal
0.104,-1.0008
0.10412,-1.0021
0.10425,-1.0032
0.10438,-1.0033
0.1045,-1.0027
0.10462,-1.0008
0.10475,-0.99568
0.10487,-0.98473
0.105,-0.96815
0.10513,-0.94952
0.10525,-0.93076
0.10537,-0.91092
0.1055,-0.89005
0.10562,-0.86633
0.10575,-0.84131
0.10587,-0.81779
0.106,-0.79421
0.10613,-0.77048
0.10625,-0.74459
0.10637,-0.7176
0.1065,-0.69259
0.10662,-0.66628
0.10675,-0.63535
0.10688,-0.60042
0.107,-0.56188
0.10712,-0.52211
0.10725,-0.48282
0.10737,-0.4451
0.1075,-0.40431
0.10763,-0.36571
0.10775,-0.32866
0.10787,-0.28998
0.108,-0.24947
0.10812,-0.2076
0.10825,-0.16641
0.10837,-0.12665
0.1085,-0.086949
0.10862,-0.043786
0.10875,0.003591
0.10887,0.051104
0.109,0.095966
0.10912,0.13872
0.10925,0.18127
0.10938,0.22131
0.1095,0.25869
0.10962,0.29465
0.10975,0.33068
0.10987,0.36813
0.11,0.40613
0.11013,0.44467
0.11025,0.4826
0.11037,0.51903
0.1105,0.55478
0.11062,0.58843
0.11075,0.6216
0.11088,0.65362
0.111,0.68325
0.11112,0.71255
0.11125,0.74076
0.11137,0.76774
0.1115,0.79649
0.11163,0.82579
0.11175,0.8525
0.11187,0.87772
0.112,0.9026
0.11212,0.92748
0.11225,0.95351
0.11238,0.98131
0.1125,1.0048
0.11262,1.0238
0.11275,1.0436
0.11287,1.0621
0.113,1.0729
0.11313,1.0781
0.11325,1.0816
0.11338,1.0852
0.1135,1.0889
0.11362,1.0919
0.11375,1.0948
0.11387,1.0971
0.114,1.0988
0.11413,1.0996
0.11425,1.1011
0.11437,1.1013
0.1145,1.1009
0.11462,1.0989
0.11475,1.0941
0.11488,1.0839
0.115,1.0678
0.11512,1.0491
0.11525,1.0291
0.11537,1.0086
0.1155,0.98743
0.11563,0.96439
0.11575,0.93978
0.11587,0.91613
0.116,0.89281
0.11612,0.86902
0.11625,0.84299
0.11637,0.81614
0.1165,0.79099
0.11662,0.76434
0.11675,0.73369
0.11687,0.698
0.117,0.65844
0.11712,0.61834
0.11725,0.58027
0.11738,0.54255
0.1175,0.46112
0.11762,0.42672
0.11775,0.38913
0.11787,0.34883
0.118,0.30682
0.11813,0.26522
0.11825,0.22511
0.11837,0.18501
0.1185,0.14212
0.11862,0.095286
0.11875,0.047433
0.11888,0.0018237
0.119,-0.041271
0.11912,-0.083618
0.11925,-0.12297
0.11937,-0.15968
0.1195,-0.19564
0.11963,-0.23248
0.11975,-0.27068
0.11987,-0.30922
0.12,-0.34762
0.12012,-0.38515
0.12025,-0.4226
0.12038,-0.45849
0.1205,-0.49173
0.12062,-0.52497
0.12075,-0.55698
0.12087,-0.58662
0.121,-0.61625
0.12113,-0.64473
0.12125,-0.67158
0.12138,-0.70061
0.1215,-0.7299
0.12162,-0.75662
0.12175,-0.78163
0.12187,-0.80522
0.122,-0.82969
0.12213,-0.85633
0.12225,-0.88536
0.12237,-0.90928
0.1225,-0.92709
0.12262,-0.94613
0.12275,-0.9638
0.12288,-0.97556
0.123,-0.981
0.12312,-0.98453
0.12325,-0.988
0.12337,-0.99187
0.1235,-0.99507
0.12363,-0.99758
0.12375,-0.99948
0.12387,-1.001
0.124,-1.0021
0.12412,-1.0032
0.12425,-1.0033
0.12437,-1.0027
0.1245,-1.001
0.12462,-0.99588
0.12475,-0.98535
0.12487,-0.96958
0.125,-0.95088
0.12512,-0.93144
0.12525,-0.91153
0.12538,-0.89032
0.1255,-0.86667
0.12562,-0.84206
0.12575,-0.81827
0.12587,-0.79448
0.126,-0.76967
0.12613,-0.74431
0.12625,-0.71808
0.12637,-0.69361
0.1265,-0.66785
0.12662,-0.63699
0.12675,-0.60212
0.12688,-0.56459
0.127,-0.52449
0.12712,-0.48486
0.12725,-0.44755
0.12737,-0.40493
0.1275,-0.36421
0.12763,-0.32839
0.12775,-0.29114
0.12787,-0.25138
0.128,-0.2091
0.12812,-0.16736
0.12825,-0.12834
0.12838,-0.088376
0.1285,-0.044534
0.12862,0.0022315
0.12875,0.049337
0.12887,0.094335
0.129,0.13716
0.12912,0.18012
0.12925,0.21995
0.12938,0.25645
0.1295,0.29234
0.12962,0.32877
0.12975,0.3665
0.12987,0.40477
0.13,0.44324
0.13013,0.48096
0.13025,0.51815
0.13037,0.5541
0.1305,0.58959
0.13062,0.62187
0.13075,0.65164
0.13088,0.6804
0.131,0.70997
0.13112,0.7396
0.13125,0.76693
0.13137,0.79561
0.1315,0.82532
0.13162,0.8523
0.13175,0.87765
0.13187,0.90178
0.132,0.92632
0.13212,0.95249
0.13225,0.98111
